day,batch,priority,id,name,province,city,targetAsset,collector,assetOperator,dataOwner,qaOwner,dueDate,source,licenseProof,qaResult,notes
D01,B01,P1,s048,沈阳故宫,辽宁,沈阳,scenic_s048,A,B,C,D,D01,,,,模板分配（A/B/C/D），请替换真实姓名
D01,B05,P1,s029,伪满皇宫,吉林,长春,scenic_s029,A,B,C,D,D01,,,,模板分配（A/B/C/D），请替换真实姓名
D01,B08,P1,s012,哈尔滨极地馆,黑龙江,哈尔滨,scenic_s012,A,B,C,D,D01,,,,模板分配（A/B/C/D），请替换真实姓名
D02,B01,P1,s055,张氏帅府,辽宁,沈阳,scenic_s055,B,C,D,A,D02,,,,模板分配（A/B/C/D），请替换真实姓名
D02,B05,P1,s032,长影世纪城,吉林,长春,scenic_s032,B,C,D,A,D02,,,,模板分配（A/B/C/D），请替换真实姓名
D02,B08,P1,s016,哈尔滨老道外,黑龙江,哈尔滨,scenic_s016,B,C,D,A,D02,,,,模板分配（A/B/C/D），请替换真实姓名
D03,B01,P1,s059,北陵公园,辽宁,沈阳,scenic_s059,C,D,A,B,D03,,,,模板分配（A/B/C/D），请替换真实姓名
D03,B05,P1,s044,长春世界雕塑园,吉林,长春,scenic_s044,C,D,A,B,D03,,,,模板分配（A/B/C/D），请替换真实姓名
D03,B08,P1,s018,五营国家森林公园,黑龙江,伊春,scenic_s018,C,D,A,B,D03,,,,模板分配（A/B/C/D），请替换真实姓名
D04,B01,P1,s065,兴城古城,辽宁,葫芦岛,scenic_s065,D,A,B,C,D04,,,,模板分配（A/B/C/D），请替换真实姓名
D04,B05,P1,s089,九台庙香山,吉林,长春,scenic_s089,D,A,B,C,D04,,,,模板分配（A/B/C/D），请替换真实姓名
D04,B08,P1,s020,松花江雾凇,黑龙江,哈尔滨,scenic_s020,D,A,B,C,D04,,,,模板分配（A/B/C/D），请替换真实姓名
D05,B01,P1,s077,沈阳世博园,辽宁,沈阳,scenic_s077,A,E,F,D,D05,,,,模板分配（A/B/C/D），请替换真实姓名 | D05 B 缺席，E 补位（外援替补）；D05 C 缺席，F 补位（外援替补）
D05,B05,P2,s033,长白山温泉,吉林,延边,scenic_s033,A,E,F,D,D05,,,,模板分配（A/B/C/D），请替换真实姓名 | D05 B 缺席，E 补位（外援替补）；D05 C 缺席，F 补位（外援替补）
D05,B08,P1,s021,龙塔,黑龙江,哈尔滨,scenic_s021,A,E,F,D,D05,,,,模板分配（A/B/C/D），请替换真实姓名 | D05 B 缺席，E 补位（外援替补）；D05 C 缺席，F 补位（外援替补）
D06,B01,P1,s093,沈阳棋盘山,辽宁,沈阳,scenic_s093,B,C,D,G,D06,,,,模板分配（A/B/C/D），请替换真实姓名 | D06 A 缺席，G 补位（外援替补）
D06,B05,P2,s037,防川风景区,吉林,延边,scenic_s037,B,C,D,G,D06,,,,模板分配（A/B/C/D），请替换真实姓名 | D06 A 缺席，G 补位（外援替补）
D06,B08,P1,s024,冰雪大世界室内乐园,黑龙江,哈尔滨,scenic_s024,B,C,D,G,D06,,,,模板分配（A/B/C/D），请替换真实姓名 | D06 A 缺席，G 补位（外援替补）
D07,B01,P2,s049,大连老虎滩海洋公园,辽宁,大连,scenic_s049,C,D,A,B,D07,,,,模板分配（A/B/C/D），请替换真实姓名
D07,B05,P2,s039,延吉帽儿山,吉林,延边,scenic_s039,C,D,A,B,D07,,,,模板分配（A/B/C/D），请替换真实姓名
D07,B08,P2,s009,扎龙自然保护区,黑龙江,齐齐哈尔,scenic_s009,C,D,A,B,D07,,,,模板分配（A/B/C/D），请替换真实姓名
D08,B01,P2,s054,金石滩,辽宁,大连,scenic_s054,D,A,B,C,D08,,,,模板分配（A/B/C/D），请替换真实姓名
D08,B05,P2,s040,六鼎山,吉林,延边,scenic_s040,D,A,B,C,D08,,,,模板分配（A/B/C/D），请替换真实姓名
D08,B08,P3,s014,小兴安岭,黑龙江,伊春,scenic_s014,D,A,B,C,D08,,,,模板分配（A/B/C/D），请替换真实姓名
D09,B01,P2,s056,棒棰岛,辽宁,大连,scenic_s056,A,B,C,D,D09,,,,模板分配（A/B/C/D），请替换真实姓名
D09,B05,P2,s041,老里克湖,吉林,延边,scenic_s041,A,B,C,D,D09,,,,模板分配（A/B/C/D），请替换真实姓名
D10,B01,P2,s057,星海广场,辽宁,大连,scenic_s057,B,C,D,A,D10,,,,模板分配（A/B/C/D），请替换真实姓名
D10,B05,P2,s043,敦化雁鸣湖,吉林,延边,scenic_s043,B,C,D,A,D10,,,,模板分配（A/B/C/D），请替换真实姓名
D11,B01,P2,s061,大连旅顺,辽宁,大连,scenic_s061,C,D,A,B,D11,,,,模板分配（A/B/C/D），请替换真实姓名
D11,B08,P1,s003,太阳岛,黑龙江,哈尔滨,scenic_s003,C,D,A,B,D11,,,,模板分配（A/B/C/D），请替换真实姓名
D12,B01,P2,s066,大连森林动物园,辽宁,大连,scenic_s066,D,A,B,C,D12,,,,模板分配（A/B/C/D），请替换真实姓名
D12,B08,P1,s004,圣索菲亚教堂,黑龙江,哈尔滨,scenic_s004,D,A,B,C,D12,,,,模板分配（A/B/C/D），请替换真实姓名
D13,B05,P1,s026,长白山瀑布,吉林,延边,scenic_s026,A,B,C,D,D13,,,,模板分配（A/B/C/D），请替换真实姓名
D13,B08,P1,s010,亚布力滑雪场,黑龙江,哈尔滨,scenic_s010,A,B,C,D,D13,,,,模板分配（A/B/C/D），请替换真实姓名
D14,B05,P1,s028,净月潭,吉林,长春,scenic_s028,B,C,D,A,D14,,,,模板分配（A/B/C/D），请替换真实姓名
D14,B08,P1,s011,松花江畔,黑龙江,哈尔滨,scenic_s011,B,C,D,A,D14,,,,模板分配（A/B/C/D），请替换真实姓名
